20190408202438,10.0.0.2,53326,10.0.0.4,5002,23,0.0-1.0,2490368,19922944
20190408202440,10.0.0.2,53326,10.0.0.4,5002,23,1.0-2.0,262144,2097152
20190408202441,10.0.0.2,53326,10.0.0.4,5002,23,2.0-3.0,131072,1048576
20190408202442,10.0.0.2,53326,10.0.0.4,5002,23,3.0-4.0,262144,2097152
20190408202443,10.0.0.2,53326,10.0.0.4,5002,23,4.0-5.0,131072,1048576
20190408202443,10.0.0.2,53326,10.0.0.4,5002,23,5.0-6.0,131072,1048576
20190408202445,10.0.0.2,53326,10.0.0.4,5002,23,6.0-7.0,262144,2097152
20190408202445,10.0.0.2,53326,10.0.0.4,5002,23,7.0-8.0,131072,1048576
20190408202447,10.0.0.2,53326,10.0.0.4,5002,23,8.0-9.0,262144,2097152
20190408202448,10.0.0.2,53326,10.0.0.4,5002,23,9.0-10.0,131072,1048576
20190408202448,10.0.0.2,53326,10.0.0.4,5002,23,0.0-10.9,4325376,3188027
