1.143622581 10.0.0.1:46396 10.0.0.3:5001 32 0x63250996 0x63246b36 29 2147483647 81408 175787 29696
1.147432746 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 87040
1.151371157 10.0.0.1:46396 10.0.0.3:5001 32 0x63252036 0x63247686 31 2147483647 87040 176623 29696
1.155162677 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 92672
1.158547291 10.0.0.2:46110 10.0.0.4:5001 32 0x6d43b910 0x6d4347f0 20 2147483647 55296 188148 29696
1.162085836 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 98816
1.167055041 10.0.0.2:46110 10.0.0.4:5001 32 0x6d43cfb0 0x6d435340 22 2147483647 60928 188206 29696
1.169848135 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 104448
1.174842937 10.0.0.2:46110 10.0.0.4:5001 32 0x6d43e650 0x6d435e90 24 2147483647 67072 189318 29696
1.177718703 10.0.0.4:5001 10.0.0.2:46110 1480 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 110080
1.183506320 10.0.0.1:46396 10.0.0.3:5001 32 0x632536d6 0x632481d6 33 2147483647 92672 178322 29696
1.189452923 10.0.0.1:46396 10.0.0.3:5001 32 0x63254d76 0x63248d26 35 2147483647 98816 181706 29696
1.194267145 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 113152
1.197237992 10.0.0.2:46110 10.0.0.4:5001 32 0x6d43f748 0x6d4369e0 26 2147483647 72704 191275 29696
1.197901848 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 118784
1.204754975 10.0.0.2:46110 10.0.0.4:5001 32 0x6d440de8 0x6d437530 28 2147483647 78336 193943 29696
1.205619753 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 124928
1.208878044 10.0.0.1:46396 10.0.0.3:5001 32 0x63256416 0x63249876 37 2147483647 104448 185411 29696
1.213460070 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 130560
1.216327966 10.0.0.1:46396 10.0.0.3:5001 32 0x63257ab6 0x6324a3c6 39 2147483647 110080 189303 29696
1.220572224 10.0.0.2:46110 10.0.0.4:5001 32 0x6d441938 0x6d437ad8 29 2147483647 81408 197216 29696
1.220987413 10.0.0.3:5001 10.0.0.1:46396 1480 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 136192
1.224824692 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 139264
1.228502766 10.0.0.2:46110 10.0.0.4:5001 32 0x6d442fd8 0x6d438628 31 2147483647 87040 200612 29696
1.232562676 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 144896
1.236222486 10.0.0.2:46110 10.0.0.4:5001 32 0x6d444678 0x6d439178 33 2147483647 92672 204574 29696
1.240250070 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 151040
1.243874969 10.0.0.2:46110 10.0.0.4:5001 32 0x6d445d18 0x6d439cc8 35 2147483647 98816 207951 29696
1.247951346 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 156672
1.251795090 10.0.0.2:46110 10.0.0.4:5001 32 0x6d4473b8 0x6d43a818 37 2147483647 104448 211861 29696
1.255586044 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 162304
1.259249149 10.0.0.2:46110 10.0.0.4:5001 32 0x6d448a58 0x6d43b368 39 2147483647 110080 215317 29696
1.263272043 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 168448
1.270993031 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.276223198 10.0.0.1:46396 10.0.0.3:5001 32 0x63258606 0x6324a96e 40 2147483647 113152 193638 29696
1.278640914 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.278945377 10.0.0.1:46396 10.0.0.3:5001 32 0x6325a24e 0x6324b4be 42 2147483647 118784 189887 29696
1.286360130 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 113152
1.286670699 10.0.0.1:46396 10.0.0.3:5001 32 0x6325b8ee 0x6324c00e 44 2147483647 124928 186944 29696
1.294026411 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 118784
1.294515944 10.0.0.1:46396 10.0.0.3:5001 32 0x6325cf8e 0x6324cb5e 46 2147483647 130560 184879 29696
1.301716078 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 124928
1.302027494 10.0.0.1:46396 10.0.0.3:5001 32 0x6325e62e 0x6324d6ae 48 2147483647 136192 184051 29696
1.306438117 10.0.0.1:46396 10.0.0.3:5001 32 0x6325f17e 0x6324dc56 49 2147483647 139264 183309 29696
1.309400854 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 130560
1.314266977 10.0.0.1:46396 10.0.0.3:5001 32 0x6326081e 0x6324e7a6 51 2147483647 144896 183212 29696
1.317110800 10.0.0.4:5001 10.0.0.2:46110 1480 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 136192
1.320936779 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 139264
1.321304639 10.0.0.1:46396 10.0.0.3:5001 32 0x63261ebe 0x6324f2f6 53 2147483647 151040 183041 29696
1.328641717 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.329001859 10.0.0.1:46396 10.0.0.3:5001 32 0x6326355e 0x6324fe46 55 2147483647 156672 183769 29696
1.336369192 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.336631821 10.0.0.1:46396 10.0.0.3:5001 32 0x63264bfe 0x63250996 57 2147483647 162304 184511 29696
