20190407114347,10.0.0.1,33688,10.0.0.3,5001,132,0.0-1.0,786432,6291456
20190407114348,10.0.0.1,33688,10.0.0.3,5001,132,1.0-2.0,393216,3145728
20190407114349,10.0.0.1,33688,10.0.0.3,5001,132,2.0-3.0,393216,3145728
20190407114350,10.0.0.1,33688,10.0.0.3,5001,132,3.0-4.0,393216,3145728
20190407114351,10.0.0.1,33688,10.0.0.3,5001,132,4.0-5.0,393216,3145728
20190407114353,10.0.0.1,33688,10.0.0.3,5001,132,5.0-6.0,393216,3145728
20190407114353,10.0.0.1,33688,10.0.0.3,5001,132,6.0-7.0,262144,2097152
20190407114354,10.0.0.1,33688,10.0.0.3,5001,132,7.0-8.0,393216,3145728
20190407114355,10.0.0.1,33688,10.0.0.3,5001,132,8.0-9.0,393216,3145728
20190407114356,10.0.0.1,33688,10.0.0.3,5001,132,9.0-10.0,393216,3145728
20190407114357,10.0.0.1,33688,10.0.0.3,5001,132,10.0-11.0,393216,3145728
20190407114358,10.0.0.1,33688,10.0.0.3,5001,132,11.0-12.0,393216,3145728
20190407114359,10.0.0.1,33688,10.0.0.3,5001,132,12.0-13.0,393216,3145728
20190407114401,10.0.0.1,33688,10.0.0.3,5001,132,13.0-14.0,393216,3145728
20190407114401,10.0.0.1,33688,10.0.0.3,5001,132,14.0-15.0,262144,2097152
20190407114402,10.0.0.1,33688,10.0.0.3,5001,132,15.0-16.0,393216,3145728
20190407114403,10.0.0.1,33688,10.0.0.3,5001,132,16.0-17.0,393216,3145728
20190407114404,10.0.0.1,33688,10.0.0.3,5001,132,17.0-18.0,393216,3145728
20190407114405,10.0.0.1,33688,10.0.0.3,5001,132,18.0-19.0,393216,3145728
20190407114406,10.0.0.1,33688,10.0.0.3,5001,132,19.0-20.0,393216,3145728
20190407114408,10.0.0.1,33688,10.0.0.3,5001,132,20.0-21.0,393216,3145728
20190407114408,10.0.0.1,33688,10.0.0.3,5001,132,21.0-22.0,262144,2097152
20190407114409,10.0.0.1,33688,10.0.0.3,5001,132,22.0-23.0,393216,3145728
20190407114410,10.0.0.1,33688,10.0.0.3,5001,132,23.0-24.0,393216,3145728
20190407114411,10.0.0.1,33688,10.0.0.3,5001,132,24.0-25.0,393216,3145728
20190407114413,10.0.0.1,33688,10.0.0.3,5001,132,25.0-26.0,262144,2097152
20190407114414,10.0.0.1,33688,10.0.0.3,5001,132,26.0-27.0,262144,2097152
20190407114415,10.0.0.1,33688,10.0.0.3,5001,132,27.0-28.0,262144,2097152
20190407114416,10.0.0.1,33688,10.0.0.3,5001,132,28.0-29.0,131072,1048576
20190407114417,10.0.0.1,33688,10.0.0.3,5001,132,29.0-30.0,262144,2097152
20190407114418,10.0.0.1,33688,10.0.0.3,5001,132,30.0-31.0,262144,2097152
20190407114419,10.0.0.1,33688,10.0.0.3,5001,132,31.0-32.0,131072,1048576
20190407114420,10.0.0.1,33688,10.0.0.3,5001,132,32.0-33.0,262144,2097152
