0.557232747 10.0.0.3:5001 10.0.0.1:40698 32 0xf4682062 0xf4682062 10 2147483647 29696 56000 28960
0.562738074 10.0.0.4:5001 10.0.0.2:40412 32 0x1e2266c6 0x1e2266c6 10 2147483647 29696 56000 28960
0.669161438 10.0.0.3:5001 10.0.0.1:40702 56 0x8f657fc7 0x8f657fc7 10 2147483647 29696 104000 28960
0.669321751 10.0.0.3:5001 10.0.0.1:40702 1480 0x8f657fc7 0x8f657fc7 10 2147483647 29696 104000 29184
0.669476906 10.0.0.3:5001 10.0.0.1:40702 1480 0x8f657fc7 0x8f657fc7 10 2147483647 29696 104000 32256
0.672910688 10.0.0.3:5001 10.0.0.1:40702 1480 0x8f657fc7 0x8f657fc7 10 2147483647 29696 104000 34816
0.672955102 10.0.0.3:5001 10.0.0.1:40702 1480 0x8f657fc7 0x8f657fc7 10 2147483647 29696 104000 37888
0.680498477 10.0.0.3:5001 10.0.0.1:40702 2928 0x8f657fc7 0x8f657fc7 10 2147483647 29696 104000 40960
0.688173998 10.0.0.3:5001 10.0.0.1:40702 2928 0x8f657fc7 0x8f657fc7 10 2147483647 29696 104000 46592
0.690679029 10.0.0.1:40702 10.0.0.3:5001 32 0xcb4364c0 0xcb4331c0 10 2147483647 28960 108122 29696
0.690716912 10.0.0.1:40702 10.0.0.3:5001 32 0xcb437010 0xcb4331d8 11 2147483647 29184 100153 29696
0.691038768 10.0.0.1:40702 10.0.0.3:5001 32 0xcb437b60 0xcb433780 12 2147483647 32256 93182 29696
0.694143637 10.0.0.1:40702 10.0.0.3:5001 32 0xcb4386b0 0xcb433d28 13 2147483647 34816 87123 29696
0.694165294 10.0.0.1:40702 10.0.0.3:5001 32 0xcb439200 0xcb4342d0 14 2147483647 37888 82201 29696
0.696214727 10.0.0.4:5001 10.0.0.2:40416 56 0x9345f5aa 0x9345f5aa 10 2147483647 29696 128000 28960
0.696771743 10.0.0.4:5001 10.0.0.2:40416 1480 0x9345f5aa 0x9345f5aa 10 2147483647 29696 128000 29184
0.700115634 10.0.0.4:5001 10.0.0.2:40416 1480 0x9345f5aa 0x9345f5aa 10 2147483647 29696 128000 32256
0.701671240 10.0.0.1:40702 10.0.0.3:5001 32 0xcb4397a8 0xcb434878 15 2147483647 40960 77895 29696
