1.934416093 10.0.0.2:43266 10.0.0.4:5001 32 0x78531c33 0x78529473 24 2147483647 67072 338292 29696
1.941808181 10.0.0.2:43266 10.0.0.4:5001 32 0x78532d2b 0x78529fc3 26 2147483647 72704 338001 29696
1.950034383 10.0.0.2:43266 10.0.0.4:5001 32 0x785343cb 0x7852ab13 28 2147483647 78336 338291 29696
1.953893467 10.0.0.1:43556 10.0.0.3:5001 32 0xcb95ac5e 0xcb953b3e 20 2147483647 55296 348661 29696
1.961660990 10.0.0.1:43556 10.0.0.3:5001 32 0xcb95c2fe 0xcb95468e 22 2147483647 60928 348006 29696
1.969455741 10.0.0.1:43556 10.0.0.3:5001 32 0xcb95d99e 0xcb9551de 24 2147483647 67072 348402 29696
1.976392112 10.0.0.2:43266 10.0.0.4:5001 32 0x78534f1b 0x7852b0bb 29 2147483647 81408 339573 29696
1.984182863 10.0.0.2:43266 10.0.0.4:5001 32 0x785365bb 0x7852bc0b 31 2147483647 87040 341962 29696
1.992023401 10.0.0.1:43556 10.0.0.3:5001 32 0xcb95ea96 0xcb955d2e 26 2147483647 72704 349722 29696
1.999855677 10.0.0.1:43556 10.0.0.3:5001 32 0xcb960136 0xcb95687e 28 2147483647 78336 351883 29696
2.003705932 10.0.0.2:43266 10.0.0.4:5001 32 0x78537c5b 0x7852c75b 33 2147483647 92672 345024 29696
2.012381872 10.0.0.2:43266 10.0.0.4:5001 32 0x785392fb 0x7852d2ab 35 2147483647 98816 348281 29696
2.019368570 10.0.0.1:43556 10.0.0.3:5001 32 0xcb960c86 0xcb956e26 29 2147483647 81408 354753 29696
2.026825153 10.0.0.1:43556 10.0.0.3:5001 32 0xcb962326 0xcb957976 31 2147483647 87040 357634 29696
2.033987232 10.0.0.2:43266 10.0.0.4:5001 32 0x7853a99b 0x7852ddfb 37 2147483647 104448 352215 29696
2.041756080 10.0.0.2:43266 10.0.0.4:5001 32 0x7853c03b 0x7852e94b 39 2147483647 110080 356270 29696
2.045668665 10.0.0.1:43556 10.0.0.3:5001 32 0xcb9639c6 0xcb9584c6 33 2147483647 92672 361087 29696
2.054388327 10.0.0.1:43556 10.0.0.3:5001 32 0xcb965066 0xcb959016 35 2147483647 98816 365115 29696
2.062186989 10.0.0.1:43556 10.0.0.3:5001 32 0xcb966706 0xcb959b66 37 2147483647 104448 369728 29696
2.068693974 10.0.0.1:43556 10.0.0.3:5001 32 0xcb967da6 0xcb95a6b6 39 2147483647 110080 373776 29696
2.085216015 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 113152
2.088859591 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 118784
