20190407113703,10.0.0.2,53646,10.0.0.4,5001,78,0.0-1.0,393216,3145728
20190407113705,10.0.0.2,53646,10.0.0.4,5001,78,1.0-2.0,262144,2097152
20190407113705,10.0.0.2,53646,10.0.0.4,5001,78,2.0-3.0,131072,1048576
20190407113707,10.0.0.2,53646,10.0.0.4,5001,78,3.0-4.0,262144,2097152
20190407113707,10.0.0.2,53646,10.0.0.4,5001,78,4.0-5.0,131072,1048576
20190407113709,10.0.0.2,53646,10.0.0.4,5001,78,5.0-6.0,262144,2097152
20190407113709,10.0.0.2,53646,10.0.0.4,5001,78,6.0-7.0,131072,1048576
20190407113710,10.0.0.2,53646,10.0.0.4,5001,78,7.0-8.0,131072,1048576
20190407113711,10.0.0.2,53646,10.0.0.4,5001,78,8.0-9.0,262144,2097152
20190407113712,10.0.0.2,53646,10.0.0.4,5001,78,9.0-10.0,131072,1048576
20190407113714,10.0.0.2,53646,10.0.0.4,5001,78,10.0-11.0,262144,2097152
20190407113714,10.0.0.2,53646,10.0.0.4,5001,78,11.0-12.0,131072,1048576
20190407113716,10.0.0.2,53646,10.0.0.4,5001,78,12.0-13.0,262144,2097152
20190407113716,10.0.0.2,53646,10.0.0.4,5001,78,13.0-14.0,131072,1048576
20190407113718,10.0.0.2,53646,10.0.0.4,5001,78,14.0-15.0,262144,2097152
20190407113718,10.0.0.2,53646,10.0.0.4,5001,78,15.0-16.0,131072,1048576
20190407113719,10.0.0.2,53646,10.0.0.4,5001,78,16.0-17.0,131072,1048576
20190407113720,10.0.0.2,53646,10.0.0.4,5001,78,17.0-18.0,262144,2097152
20190407113721,10.0.0.2,53646,10.0.0.4,5001,78,18.0-19.0,131072,1048576
20190407113723,10.0.0.2,53646,10.0.0.4,5001,78,19.0-20.0,262144,2097152
20190407113723,10.0.0.2,53646,10.0.0.4,5001,78,20.0-21.0,131072,1048576
20190407113725,10.0.0.2,53646,10.0.0.4,5001,78,21.0-22.0,262144,2097152
20190407113725,10.0.0.2,53646,10.0.0.4,5001,78,22.0-23.0,131072,1048576
20190407113726,10.0.0.2,53646,10.0.0.4,5001,78,23.0-24.0,131072,1048576
20190407113727,10.0.0.2,53646,10.0.0.4,5001,78,24.0-25.0,262144,2097152
20190407113728,10.0.0.2,53646,10.0.0.4,5001,78,25.0-26.0,131072,1048576
