1.182650547 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 92672
1.190499552 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 98816
1.190584020 10.0.0.2:40434 10.0.0.4:5001 32 0x638bdf3e 0x638b62ce 22 2147483647 60928 182866 29696
1.197393432 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 104448
1.197782282 10.0.0.2:40434 10.0.0.4:5001 32 0x638bf5de 0x638b6e1e 24 2147483647 67072 183628 29696
1.205483275 10.0.0.3:5001 10.0.0.1:40720 1480 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 110080
1.205586679 10.0.0.2:40434 10.0.0.4:5001 32 0x638c06d6 0x638b796e 26 2147483647 72704 185195 29696
1.209364164 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 104448
1.214012791 10.0.0.2:40434 10.0.0.4:5001 32 0x638c1d76 0x638b84be 28 2147483647 78336 186580 29696
1.216822606 10.0.0.4:5001 10.0.0.2:40434 1480 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 110080
1.217347494 10.0.0.1:40720 10.0.0.3:5001 32 0xd67911f 0xd66f2bf 29 2147483647 81408 177025 29696
1.225618498 10.0.0.1:40720 10.0.0.3:5001 32 0xd67a7bf 0xd66fe0f 31 2147483647 87040 180000 29696
1.232744243 10.0.0.2:40434 10.0.0.4:5001 32 0x638c28c6 0x638b8a66 29 2147483647 81408 188845 29696
1.232849450 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 113152
1.236695668 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 118784
1.240545237 10.0.0.2:40434 10.0.0.4:5001 32 0x638c3f66 0x638b95b6 31 2147483647 87040 191303 29696
1.244179696 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 124928
1.248136189 10.0.0.1:40720 10.0.0.3:5001 32 0xd67be5f 0xd67095f 33 2147483647 92672 183637 29696
1.251935705 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 130560
1.255976160 10.0.0.1:40720 10.0.0.3:5001 32 0xd67d4ff 0xd6714af 35 2147483647 98816 187711 29696
1.259567427 10.0.0.3:5001 10.0.0.1:40720 1480 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 136192
1.264109185 10.0.0.2:40434 10.0.0.4:5001 32 0x638c5606 0x638ba106 33 2147483647 92672 194429 29696
1.264141858 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 139264
1.271513710 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 144896
1.271598044 10.0.0.2:40434 10.0.0.4:5001 32 0x638c6ca6 0x638bac56 35 2147483647 98816 198116 29696
1.278667111 10.0.0.1:40720 10.0.0.3:5001 32 0xd67eb9f 0xd671fff 37 2147483647 104448 192257 29696
1.278798242 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 151040
1.286482413 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 156672
1.286551088 10.0.0.1:40720 10.0.0.3:5001 32 0xd68023f 0xd672b4f 39 2147483647 110080 197135 29696
1.291375001 10.0.0.2:40434 10.0.0.4:5001 32 0x638c8346 0x638bb7a6 37 2147483647 104448 202278 29696
1.294345041 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 113152
