0.649907898 10.0.0.4:5001 10.0.0.2:40468 1480 0x61752024 0x61752024 10 2147483647 29696 48000 165376
0.653919118 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 168448
0.656017405 10.0.0.2:40468 10.0.0.4:5001 32 0x571b7d4f 0x571a4bdf 54 2147483647 153600 84119 29696
0.661810072 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.663330928 10.0.0.2:40468 10.0.0.4:5001 32 0x571b93ef 0x571a572f 56 2147483647 159744 87058 29696
0.669160182 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.671035714 10.0.0.2:40468 10.0.0.4:5001 32 0x571b9f3f 0x571a627f 57 56 165376 89636 29696
0.675390511 10.0.0.2:40468 10.0.0.4:5001 32 0x571baa8f 0x571a6827 57 56 168448 92250 29696
0.677323812 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.683270951 10.0.0.2:40468 10.0.0.4:5001 32 0x571bb5df 0x571a7377 57 56 170496 95081 29696
0.685204186 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.690285883 10.0.0.2:40468 10.0.0.4:5001 32 0x571bc12f 0x571a7ec7 57 56 170496 97696 29696
0.692229257 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.698434049 10.0.0.2:40468 10.0.0.4:5001 32 0x571bcc7f 0x571a8a17 57 56 170496 100861 29696
0.699904498 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.706847514 10.0.0.2:40468 10.0.0.4:5001 32 0x571bd227 0x571a9567 57 56 170496 103667 29696
0.707642649 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.713675783 10.0.0.2:40468 10.0.0.4:5001 32 0x571bdd77 0x571aa0b7 57 56 170496 107174 29696
0.716422049 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.720952739 10.0.0.2:40468 10.0.0.4:5001 32 0x571be8c7 0x571aac07 57 56 170496 110168 29696
0.722925193 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.729363818 10.0.0.2:40468 10.0.0.4:5001 32 0x571bf417 0x571ab757 57 56 170496 113696 29696
0.731190671 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.737468552 10.0.0.2:40468 10.0.0.4:5001 32 0x571bff67 0x571ac2a7 57 56 170496 116739 29696
0.738280892 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.743987656 10.0.0.2:40468 10.0.0.4:5001 32 0x571c1607 0x571acdf7 58 56 170496 120414 29696
0.746442899 10.0.0.4:5001 10.0.0.2:40468 1480 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.750889254 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.752240896 10.0.0.2:40468 10.0.0.4:5001 32 0x571c2157 0x571ad947 58 56 170496 123622 29696
0.758452152 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.759702629 10.0.0.2:40468 10.0.0.4:5001 32 0x571c2ca7 0x571ae497 58 56 170496 126838 29696
0.765307091 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.767503498 10.0.0.2:40468 10.0.0.4:5001 32 0x571c37f7 0x571aefe7 58 56 170496 130585 29696
0.771950714 10.0.0.2:40468 10.0.0.4:5001 32 0x571c3d9f 0x571af58f 58 56 170496 134839 29696
